scope,run_id,variant,quantizer,base_bit_len,ext_bit_len,code_bits_per_dim,top_k,search_range,run_count,qps,qps_min,qps_max,recall_at_k,recall_min,recall_max,avg_us,p50_us,p90_us,p95_us,p99_us,rounds,warmup_queries,base_count,query_count,dim,build_seconds,save_seconds,total_build_seconds,index_bytes,search_max_rss_kib,build_max_rss_kib,thread_count,link_range,link_candidate_size,build_iter_count,batch_size_mb,rotator_type,source_search_csv,source_build_csv
aggregate,ALL,zsq,zsq,0,0,8,10,30,1,19241.32105,19241.32105,19241.32105,0.90223,0.90223,0.90223,51.971484,51.683,58.184,60.605,66.304,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,40,1,15289.68297,15289.68297,15289.68297,0.92007,0.92007,0.92007,65.40358,65.335,72.446,74.786,80.356,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,50,1,12735.28586,12735.28586,12735.28586,0.93012,0.93012,0.93012,78.521991,78.596,86.866,89.507,95.067,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,75,1,9202.922944,9202.922944,9202.922944,0.94187,0.94187,0.94187,108.661129,109.298,120.539,123.579,129.97,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,100,1,7297.485827,7297.485827,7297.485827,0.94706,0.94706,0.94706,137.033497,138.01,152.681,156.442,163.712,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,150,1,5100.512168,5100.512168,5100.512168,0.95056,0.95056,0.95056,196.058742,197.885,219.896,225.387,235.378,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,200,1,3972.685786,3972.685786,3972.685786,0.95202,0.95202,0.95202,251.718876,254.229,283.971,291.212,303.093,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,300,1,2750.028652,2750.028652,2750.028652,0.95304,0.95304,0.95304,363.632575,366.537,414.141,425.242,444.814,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,400,1,2137.228489,2137.228489,2137.228489,0.95347,0.95347,0.95347,467.895691,471.065,535.29,551.591,578.944,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,800,1,1121.348458,1121.348458,1121.348458,0.9538,0.9538,0.9538,891.783453,893.337,1031.397,1066.18,1127.754,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,,
