scope,run_id,variant,quantizer,base_bit_len,ext_bit_len,code_bits_per_dim,top_k,search_range,run_count,qps,qps_min,qps_max,recall_at_k,recall_min,recall_max,avg_us,p50_us,p90_us,p95_us,p99_us,rounds,warmup_queries,base_count,query_count,dim,build_seconds,save_seconds,total_build_seconds,index_bytes,search_max_rss_kib,build_max_rss_kib,thread_count,link_range,link_candidate_size,build_iter_count,batch_size_mb,rotator_type,source_search_csv,source_build_csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,100,1,7351.951113,,,0.94989,,,136.018315,136.91,151.851,155.582,163.092,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,150,1,5154.297074,,,0.95347,,,194.012876,195.475,218.186,223.837,234.027,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,200,1,4005.925037,,,0.95488,,,249.630233,251.809,282.211,289.672,302.833,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,300,1,2788.220883,,,0.95586,,,358.651643,361.308,408.751,420.102,440.093,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,400,1,2153.826855,,,0.95621,,,464.289874,467.025,532.34,548.131,575.133,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,800,1,1128.454613,,,0.95658,,,886.167674,887.357,1026.077,1061.36,1123.725,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,100,100,1,7054.97291,,,0.890867,,,141.743989,142.641,157.582,161.332,168.823,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,100,150,1,4980.625537,,,0.954378,,,200.777993,202.305,225.177,230.808,241.028,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,100,200,1,3913.887277,,,0.962114,,,255.50046,257.57,288.372,295.513,308.484,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,100,300,1,2738.19845,,,0.966461,,,365.203625,367.937,415.261,426.562,446.223,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,100,400,1,2125.005948,,,0.967875,,,470.586918,473.436,538.851,554.542,581.394,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,100,800,1,1125.997936,,,0.969113,,,888.101095,889.017,1025.157,1060.55,1121.775,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
aggregate,ALL,erq9,erq,1,8,9,10,10,1,52448.33644,52448.33644,52448.33644,0.56298,0.56298,0.56298,19.066382,18.731,22.662,24.141,27.162,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1125540,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,15,1,42498.93298,42498.93298,42498.93298,0.67488,0.67488,0.67488,23.530003,23.101,27.442,29.052,32.783,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127184,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,20,1,34817.83681,34817.83681,34817.83681,0.7444,0.7444,0.7444,28.720911,28.272,32.843,34.703,39.163,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127184,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,30,1,26707.1016,26707.1016,26707.1016,0.82213,0.82213,0.82213,37.443224,36.943,41.963,43.944,48.463,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
